Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,TEAM,ADP
5,Drew Timme,24,PF,9,2,28.2,5.0,11.3,.441,1.0,3.9,.257,4.0,7.4,.537,.485,1.1,1.8,.625,1.9,5.3,7.2,2.2,0.4,0.1,1.7,2.3,12.1,,BRK
6,Killian Hayes,23,PG,6,5,27.0,3.0,7.2,.419,1.3,3.5,.381,1.7,3.7,.455,.512,1.7,2.0,.833,0.8,2.2,3.0,5.2,0.7,0.7,1.5,2.2,9.0,,BRK
7,Nic Claxton,25,C,70,62,26.9,4.6,8.1,.563,0.1,0.3,.238,4.5,7.8,.576,.568,1.1,2.2,.513,2.2,5.1,7.4,2.2,0.9,1.4,1.2,2.1,10.3,,BRK
8,Jalen Wilson,24,PF,79,22,25.7,3.1,7.8,.397,1.5,4.6,.337,1.6,3.3,.481,.495,1.7,2.1,.818,0.9,2.5,3.4,1.8,0.5,0.1,1.0,2.1,9.5,,BRK
9,Ben Simmons,28,PG,33,24,25.0,2.8,5.2,.547,0.0,0.0,,2.8,5.2,.547,.547,0.5,0.8,.692,0.9,4.3,5.2,6.9,0.8,0.5,2.7,2.5,6.2,,BRK
10,D'Angelo Russell,28,PG,29,26,24.7,4.1,11.3,.367,2.0,6.6,.297,2.2,4.7,.467,.454,2.6,3.2,.826,0.4,2.4,2.8,5.6,1.1,0.7,2.0,2.1,12.9,,BRK
11,Ziaire Williams,23,SF,63,45,24.5,3.4,8.3,.412,1.6,4.8,.341,1.8,3.5,.509,.511,1.6,2.0,.821,1.0,3.6,4.6,1.3,1.0,0.4,1.1,2.4,10.0,,BRK
12,Keon Johnson,22,SG,79,56,24.4,3.8,9.9,.389,1.6,5.1,.314,2.2,4.8,.468,.470,1.4,1.8,.770,0.8,3.0,3.8,2.2,1.0,0.4,1.5,2.6,10.6,,BRK
13,Tosan Evbuomwan,23,SF,28,0,23.8,3.4,7.9,.427,0.9,2.8,.312,2.5,5.1,.490,.482,2.0,2.6,.753,1.1,3.1,4.3,2.0,0.9,0.4,1.4,2.0,9.5,,BRK
14,Noah Clowney,20,PF,46,20,22.7,2.9,8.1,.358,1.9,5.7,.333,1.0,2.4,.414,.474,1.5,1.7,.838,0.9,3.0,3.9,0.9,0.5,0.5,1.0,2.3,9.1,,BRK
